annyeong	안녕
ssaet	쌛
ssael	쌜
ssaem	쌤
ssaep	쌥
ssaeng	쌩
ssyak	쌱
ssyan	쌴
ssyat	쌷
ssyal	쌸
ssyam	썀
ssyap	썁
ssyang	썅
ssyaek	썍
ssyaen	썐
ssyaet	썓
ssyael	썔
ssyaem	썜
ssyaep	썝
ssyaeng	썡
sseok	썩
sseon	썬
sseot	썯
sseol	썰
sseom	썸
sseop	썹
sseong	썽
ssek	쎅
ssen	쎈
sset	쎋
ssel	쎌
ssem	쎔
ssep	쎕
sseng	쎙
ssyeok	쎡
ssyeon	쎤
ssyeot	쎧
ssyeol	쎨
ssyeom	쎰
ssyeop	쎱
ssyeong	쎵
ssyek	쎽
ssyen	쏀
ssyet	쏃
ssyel	쏄
ssyem	쏌
ssyep	쏍
ssyeng	쏑
ssok	쏙
sson	쏜
ssot	쏟
ssol	쏠
ssom	쏨
ssop	쏩
ssong	쏭
sswak	쏵
sswan	쏸
sswat	쏻
sswal	쏼
sswam	쐄
sswap	쐅
sswang	쐉
sswaek	쐑
sswaen	쐔
sswaet	쐗
sswael	쐘
sswaem	쐠
sswaep	쐡
sswaeng	쐥
ssoek	쐭
ssoen	쐰
ssoet	쐳
ssoel	쐴
ssoem	쐼
ssoep	쐽
ssoeng	쑁
ssyok	쑉
ssyon	쑌
ssyot	쑏
ssyol	쑐
ssyom	쑘
ssyop	쑙
ssyong	쑝
ssuk	쑥
ssun	쑨
ssut	쑫
ssul	쑬
ssum	쑴
ssup	쑵
ssung	쑹
sswok	쒁
sswon	쒄
sswot	쒇
sswol	쒈
sswom	쒐
sswop	쒑
sswong	쒕
sswek	쒝
sswen	쒠
sswet	쒣
sswel	쒤
sswem	쒬
sswep	쒭
ssweng	쒱
sswik	쒹
sswin	쒼
sswit	쒿
sswil	쓀
sswim	쓈
sswip	쓉
sswing	쓍
ssyuk	쓕
ssyun	쓘
ssyut	쓛
ssyul	쓜
ssyum	쓤
ssyup	쓥
ssyung	쓩
sseuk	쓱
sseun	쓴
sseut	쓷
sseul	쓸
sseum	씀
sseup	씁
sseung	씅
ssuik	씍
ssuin	씐
ssuit	씓
ssuil	씔
ssuim	씜
ssuip	씝
ssuing	씡
ssik	씩
ssin	씬
ssit	씯
ssil	씰
ssim	씸
ssip	씹
ssing	씽
ngak	악
ngan	안
ngat	앋
ngal	알
ngam	암
ngap	압
ngang	앙
ngaek	액
ngaen	앤
ngaet	앧
ngael	앨
ngaem	앰
ngaep	앱
ngaeng	앵
ngyak	약
ngyan	얀
ngyat	얃
ngyal	얄
ngyam	얌
ngyap	얍
ngyang	양
ngyaek	얙
ngyaen	얜
ngyaet	얟
ngyael	얠
ngyaem	얨
ngyaep	얩
ngyaeng	얭
ngeok	억
ngeon	언
ngeot	얻
ngeol	얼
ngeom	엄
ngeop	업
ngeong	엉
ngek	엑
ngen	엔
nget	엗
ngel	엘
ngem	엠
ngep	엡
ngeng	엥
ngyeok	역
ngyeon	연
ngyeot	엳
ngyeol	열
ngyeom	염
ngyeop	엽
ngyeong	영
ngyek	옉
ngyen	옌
ngyet	옏
ngyel	옐
ngyem	옘
ngyep	옙
ngyeng	옝
ngok	옥
ngon	온
ngot	옫
ngol	올
ngom	옴
ngop	옵
ngong	옹
ngwak	왁
ngwan	완
ngwat	왇
ngwal	왈
ngwam	왐
ngwap	왑
ngwang	왕
ngwaek	왝
ngwaen	왠
ngwaet	왣
ngwael	왤
ngwaem	왬
ngwaep	왭
ngwaeng	왱
ngoek	왹
ngoen	왼
ngoet	왿
ngoel	욀
ngoem	욈
ngoep	욉
ngoeng	욍
ngyok	욕
ngyon	욘
ngyot	욛
ngyol	욜
ngyom	욤
ngyop	욥
ngyong	용
nguk	욱
ngun	운
ngut	욷
ngul	울
ngum	움
ngup	웁
ngung	웅
ngwok	웍
ngwon	원
ngwot	웓
ngwol	월
ngwom	웜
ngwop	웝
ngwong	웡
ngwek	웩
ngwen	웬
ngwet	웯
ngwel	웰
ngwem	웸
ngwep	웹
ngweng	웽
ngwik	윅
ngwin	윈
ngwit	윋
ngwil	윌
ngwim	윔
ngwip	윕
ngwing	윙
ngyuk	육
ngyun	윤
ngyut	윧
ngyul	율
ngyum	윰
ngyup	윱
ngyung	융
ngeuk	윽
ngeun	은
ngeut	읃
ngeul	을
ngeum	음
ngeup	읍
ngeung	응
nguik	읙
nguin	읜
nguit	읟
nguil	읠
nguim	읨
nguip	읩
nguing	읭
ngik	익
ngin	인
ngit	읻
ngil	일
ngim	임
ngip	입
nging	잉
jak	작
jan	잔
jat	잗
jal	잘
jam	잠
jap	잡
jang	장
jaek	잭
jaen	잰
jaet	잳
jael	잴
jaem	잼
jaep	잽
jaeng	쟁
jyak	쟉
jyan	쟌
jyat	쟏
jyal	쟐
jyam	쟘
jyap	쟙
jyang	쟝
jyaek	쟥
jyaen	쟨
jyaet	쟫
jyael	쟬
jyaem	쟴
jyaep	쟵
jyaeng	쟹
jeok	적
jeon	전
jeot	젇
jeol	절
jeom	점
jeop	접
jeong	정
jek	젝
jen	젠
jet	젣
jel	젤
jem	젬
jep	젭
jeng	젱
jyeok	젹
jyeon	젼
jyeot	젿
jyeol	졀
jyeom	졈
jyeop	졉
jyeong	졍
jyek	졕
jyen	졘
jyet	졛
jyel	졜
jyem	졤
jyep	졥
jyeng	졩
jok	족
jon	존
jot	졷
jol	졸
jom	좀
jop	좁
jong	종
jwak	좍
jwan	좐
jwat	좓
jwal	좔
jwam	좜
jwap	좝
jwang	좡
jwaek	좩
jwaen	좬
jwaet	좯
jwael	좰
jwaem	좸
jwaep	좹
jwaeng	좽
joek	죅
joen	죈
joet	죋
joel	죌
joem	죔
joep	죕
joeng	죙
jyok	죡
jyon	죤
jyot	죧
jyol	죨
jyom	죰
jyop	죱
jyong	죵
juk	죽
jun	준
jut	줃
jul	줄
jum	줌
jup	줍
jung	중
jwok	줙
jwon	줜
jwot	줟
jwol	줠
jwom	줨
jwop	줩
jwong	줭
jwek	줵
jwen	줸
jwet	줻
jwel	줼
jwem	쥄
jwep	쥅
jweng	쥉
jwik	쥑
jwin	쥔
jwit	쥗
jwil	쥘
jwim	쥠
jwip	쥡
jwing	쥥
jyuk	쥭
jyun	쥰
jyut	쥳
jyul	쥴
jyum	쥼
jyup	쥽
jyung	즁
jeuk	즉
jeun	즌
jeut	즏
jeul	즐
jeum	즘
jeup	즙
jeung	증
juik	즥
juin	즨
juit	즫
juil	즬
juim	즴
juip	즵
juing	즹
jik	직
jin	진
jit	짇
jil	질
jim	짐
jip	집
jing	징
jjak	짝
jjan	짠
jjat	짣
jjal	짤
jjam	짬
jjap	짭
jjang	짱
jjaek	짹
jjaen	짼
jjaet	짿
jjael	쨀
jjaem	쨈
jjaep	쨉
jjaeng	쨍
jjyak	쨕
jjyan	쨘
jjyat	쨛
jjyal	쨜
jjyam	쨤
jjyap	쨥
jjyang	쨩
jjyaek	쨱
jjyaen	쨴
jjyaet	쨷
jjyael	쨸
jjyaem	쩀
jjyaep	쩁
jjyaeng	쩅
jjeok	쩍
jjeon	쩐
jjeot	쩓
jjeol	쩔
jjeom	쩜
jjeop	쩝
jjeong	쩡
jjek	쩩
jjen	쩬
jjet	쩯
jjel	쩰
jjem	쩸
jjep	쩹
jjeng	쩽
jjyeok	쪅
jjyeon	쪈
jjyeot	쪋
jjyeol	쪌
jjyeom	쪔
jjyeop	쪕
jjyeong	쪙
jjyek	쪡
jjyen	쪤
jjyet	쪧
jjyel	쪨
jjyem	쪰
jjyep	쪱
jjyeng	쪵
jjok	쪽
jjon	쫀
jjot	쫃
jjol	쫄
jjom	쫌
jjop	쫍
jjong	쫑
jjwak	쫙
jjwan	쫜
jjwat	쫟
jjwal	쫠
jjwam	쫨
jjwap	쫩
jjwang	쫭
jjwaek	쫵
jjwaen	쫸
jjwaet	쫻
jjwael	쫼
jjwaem	쬄
jjwaep	쬅
jjwaeng	쬉
jjoek	쬑
jjoen	쬔
jjoet	쬗
jjoel	쬘
jjoem	쬠
jjoep	쬡
jjoeng	쬥
jjyok	쬭
jjyon	쬰
jjyot	쬳
jjyol	쬴
jjyom	쬼
jjyop	쬽
jjyong	쭁
jjuk	쭉
jjun	쭌
jjut	쭏
jjul	쭐
jjum	쭘
jjup	쭙
jjung	쭝
jjwok	쭥
jjwon	쭨
jjwot	쭫
jjwol	쭬
jjwom	쭴
jjwop	쭵
jjwong	쭹
jjwek	쮁
jjwen	쮄
jjwet	쮇
jjwel	쮈
jjwem	쮐
jjwep	쮑
jjweng	쮕
jjwik	쮝
jjwin	쮠
jjwit	쮣
jjwil	쮤
jjwim	쮬
jjwip	쮭
jjwing	쮱
jjyuk	쮹
jjyun	쮼
jjyut	쮿
jjyul	쯀
jjyum	쯈
jjyup	쯉
jjyung	쯍
jjeuk	쯕
jjeun	쯘
jjeut	쯛
jjeul	쯜
jjeum	쯤
jjeup	쯥
jjeung	쯩
jjuik	쯱
jjuin	쯴
jjuit	쯷
jjuil	쯸
jjuim	찀
jjuip	찁
jjuing	찅
jjik	찍
jjin	찐
jjit	찓
jjil	찔
jjim	찜
jjip	찝
jjing	찡
chak	착
chan	찬
chat	찯
chal	찰
cham	참
chap	찹
chang	창
chaek	책
chaen	챈
chaet	챋
chael	챌
chaem	챔
chaep	챕
chaeng	챙
chyak	챡
chyan	챤
chyat	챧
chyal	챨
chyam	챰
chyap	챱
chyang	챵
chyaek	챽
chyaen	첀
chyaet	첃
chyael	첄
chyaem	첌
chyaep	첍
chyaeng	첑
cheok	척
cheon	천
cheot	첟
cheol	철
cheom	첨
cheop	첩
cheong	청
chek	첵
chen	첸
chet	첻
chel	첼
chem	쳄
chep	쳅
cheng	쳉
chyeok	쳑
chyeon	쳔
chyeot	쳗
chyeol	쳘
chyeom	쳠
chyeop	쳡
chyeong	쳥
chyek	쳭
chyen	쳰
chyet	쳳
chyel	쳴
chyem	쳼
chyep	쳽
chyeng	촁
chok	촉
chon	촌
chot	촏
chol	촐
chom	촘
chop	촙
chong	총
chwak	촥
chwan	촨
chwat	촫
chwal	촬
chwam	촴
chwap	촵
chwang	촹
chwaek	쵁
chwaen	쵄
chwaet	쵇
chwael	쵈
chwaem	쵐
chwaep	쵑
chwaeng	쵕
choek	쵝
choen	쵠
choet	쵣
choel	쵤
choem	쵬
choep	쵭
choeng	쵱
chyok	쵹
chyon	쵼
chyot	쵿
chyol	춀
chyom	춈
chyop	춉
chyong	춍
chuk	축
chun	춘
chut	춛
chul	출
chum	춤
chup	춥
chung	충
chwok	춱
chwon	춴
chwot	춷
chwol	춸
chwom	췀
chwop	췁
chwong	췅
chwek	췍
chwen	췐
chwet	췓
chwel	췔
chwem	췜
chwep	췝
chweng	췡
chwik	췩
chwin	췬
chwit	췯
chwil	췰
chwim	췸
chwip	췹
chwing	췽
chyuk	츅
chyun	츈
chyut	츋
chyul	츌
chyum	츔
chyup	츕
chyung	츙
cheuk	측
cheun	츤
cheut	츧
cheul	츨
cheum	츰
cheup	츱
cheung	층
chuik	츽
chuin	칀
chuit	칃
chuil	칄
chuim	칌
chuip	칍
chuing	칑
chik	칙
chin	친
chit	칟
chil	칠
chim	침
chip	칩
ching	칭
kak	칵
kan	칸
kat	칻
kal	칼
kam	캄
kap	캅
kang	캉
kaek	캑
kaen	캔
kaet	캗
kael	캘
kaem	캠
kaep	캡
kaeng	캥
kyak	캭
kyan	캰
kyat	캳
kyal	캴
kyam	캼
kyap	캽
kyang	컁
kyaek	컉
kyaen	컌
kyaet	컏
kyael	컐
kyaem	컘
kyaep	컙
kyaeng	컝
keok	컥
keon	컨
keot	컫
keol	컬
keom	컴
keop	컵
keong	컹
kek	켁
ken	켄
ket	켇
kel	켈
kem	켐
kep	켑
keng	켕
kyeok	켝
kyeon	켠
kyeot	켣
kyeol	켤
kyeom	켬
kyeop	켭
kyeong	켱
kyek	켹
kyen	켼
kyet	켿
kyel	콀
kyem	콈
kyep	콉
kyeng	콍
kok	콕
kon	콘
kot	콛
kol	콜
kom	콤
kop	콥
kong	콩
kwak	콱
kwan	콴
kwat	콷
kwal	콸
kwam	쾀
kwap	쾁
kwang	쾅
kwaek	쾍
kwaen	쾐
kwaet	쾓
kwael	쾔
kwaem	쾜
kwaep	쾝
kwaeng	쾡
koek	쾩
koen	쾬
koet	쾯
koel	쾰
koem	쾸
koep	쾹
koeng	쾽
kyok	쿅
kyon	쿈
kyot	쿋
kyol	쿌
kyom	쿔
kyop	쿕
kyong	쿙
kuk	쿡
kun	쿤
kut	쿧
kul	쿨
kum	쿰
kup	쿱
kung	쿵
kwok	쿽
kwon	퀀
kwot	퀃
kwol	퀄
kwom	퀌
kwop	퀍
kwong	퀑
kwek	퀙
kwen	퀜
kwet	퀟
kwel	퀠
kwem	퀨
kwep	퀩
kweng	퀭
kwik	퀵
kwin	퀸
kwit	퀻
kwil	퀼
kwim	큄
kwip	큅
kwing	큉
kyuk	큑
kyun	큔
kyut	큗
kyul	큘
kyum	큠
kyup	큡
kyung	큥
keuk	큭
keun	큰
keut	큳
keul	클
keum	큼
keup	큽
keung	킁
kuik	킉
kuin	킌
kuit	킏
kuil	킐
kuim	킘
kuip	킙
kuing	킝
kik	킥
kin	킨
kit	킫
kil	킬
kim	킴
kip	킵
king	킹
tak	탁
tan	탄
tat	탇
tal	탈
tam	탐
tap	탑
tang	탕
taek	택
taen	탠
taet	탣
tael	탤
taem	탬
taep	탭
taeng	탱
tyak	탹
tyan	탼
tyat	탿
tyal	턀
tyam	턈
tyap	턉
tyang	턍
tyaek	턕
tyaen	턘
tyaet	턛
tyael	턜
tyaem	턤
tyaep	턥
tyaeng	턩
teok	턱
teon	턴
teot	턷
teol	털
teom	텀
teop	텁
teong	텅
tek	텍
ten	텐
tet	텓
tel	텔
tem	템
tep	텝
teng	텡
tyeok	텩
tyeon	텬
tyeot	텯
tyeol	텰
tyeom	텸
tyeop	텹
tyeong	텽
tyek	톅
tyen	톈
tyet	톋
tyel	톌
tyem	톔
tyep	톕
tyeng	톙
tok	톡
ton	톤
tot	톧
tol	톨
tom	톰
top	톱
tong	통
twak	톽
twan	퇀
twat	퇃
twal	퇄
twam	퇌
twap	퇍
twang	퇑
twaek	퇙
twaen	퇜
twaet	퇟
twael	퇠
twaem	퇨
twaep	퇩
twaeng	퇭
toek	퇵
toen	퇸
toet	퇻
toel	퇼
toem	툄
toep	툅
toeng	툉
tyok	툑
tyon	툔
tyot	툗
tyol	툘
tyom	툠
tyop	툡
tyong	툥
tuk	툭
tun	툰
tut	툳
tul	툴
tum	툼
tup	툽
tung	퉁
twok	퉉
twon	퉌
twot	퉏
twol	퉐
twom	퉘
twop	퉙
twong	퉝
twek	퉥
twen	퉨
twet	퉫
twel	퉬
twem	퉴
twep	퉵
tweng	퉹
twik	튁
twin	튄
twit	튇
twil	튈
twim	튐
twip	튑
twing	튕
tyuk	튝
tyun	튠
tyut	튣
tyul	튤
tyum	튬
tyup	튭
tyung	튱
teuk	특
teun	튼
teut	튿
teul	틀
teum	틈
teup	틉
teung	틍
tuik	틕
tuin	틘
tuit	틛
tuil	틜
tuim	틤
tuip	틥
tuing	틩
tik	틱
tin	틴
tit	틷
til	틸
tim	팀
tip	팁
ting	팅
pak	팍
pan	판
pat	팓
pal	팔
pam	팜
pap	팝
pang	팡
paek	팩
paen	팬
paet	팯
pael	팰
paem	팸
paep	팹
paeng	팽
pyak	퍅
pyan	퍈
pyat	퍋
pyal	퍌
pyam	퍔
pyap	퍕
pyang	퍙
pyaek	퍡
pyaen	퍤
pyaet	퍧
pyael	퍨
pyaem	퍰
pyaep	퍱
pyaeng	퍵
peok	퍽
peon	펀
peot	펃
peol	펄
peom	펌
peop	펍
peong	펑
pek	펙
pen	펜
pet	펟
pel	펠
pem	펨
pep	펩
peng	펭
pyeok	펵
pyeon	편
pyeot	펻
pyeol	펼
pyeom	폄
pyeop	폅
pyeong	평
pyek	폑
pyen	폔
pyet	폗
pyel	폘
pyem	폠
pyep	폡
pyeng	폥
pok	폭
pon	폰
pot	폳
pol	폴
pom	폼
pop	폽
pong	퐁
pwak	퐉
pwan	퐌
pwat	퐏
pwal	퐐
pwam	퐘
pwap	퐙
pwang	퐝
pwaek	퐥
pwaen	퐨
pwaet	퐫
pwael	퐬
pwaem	퐴
pwaep	퐵
pwaeng	퐹
poek	푁
poen	푄
poet	푇
poel	푈
poem	푐
poep	푑
poeng	푕
pyok	푝
pyon	푠
pyot	푣
pyol	푤
pyom	푬
pyop	푭
pyong	푱
puk	푹
pun	푼
put	푿
pul	풀
pum	품
pup	풉
pung	풍
pwok	풕
pwon	풘
pwot	풛
pwol	풜
pwom	풤
pwop	풥
pwong	풩
pwek	풱
pwen	풴
pwet	풷
pwel	풸
pwem	퓀
pwep	퓁
pweng	퓅
pwik	퓍
pwin	퓐
pwit	퓓
pwil	퓔
pwim	퓜
pwip	퓝
pwing	퓡
pyuk	퓩
pyun	퓬
pyut	퓯
pyul	퓰
pyum	퓸
pyup	퓹
pyung	퓽
peuk	픅
peun	픈
peut	픋
peul	플
peum	픔
peup	픕
peung	픙
puik	픡
puin	픤
puit	픧
puil	픨
puim	픰
puip	픱
puing	픵
pik	픽
pin	핀
pit	핃
pil	필
pim	핌
pip	핍
ping	핑
hak	학
han	한
hat	핟
hal	할
ham	함
hap	합
hang	항
haek	핵
haen	핸
haet	핻
hael	핼
haem	햄
haep	햅
haeng	행
hyak	햑
hyan	햔
hyat	햗
hyal	햘
hyam	햠
hyap	햡
hyang	향
hyaek	햭
hyaen	햰
hyaet	햳
hyael	햴
hyaem	햼
hyaep	햽
hyaeng	헁
heok	헉
heon	헌
heot	헏
heol	헐
heom	험
heop	헙
heong	헝
hek	헥
hen	헨
het	헫
hel	헬
hem	헴
hep	헵
heng	헹
hyeok	혁
hyeon	현
hyeot	혇
hyeol	혈
hyeom	혐
hyeop	협
hyeong	형
hyek	혝
hyen	혠
hyet	혣
hyel	혤
hyem	혬
hyep	혭
hyeng	혱
hok	혹
hon	혼
hot	혿
hol	홀
hom	홈
hop	홉
hong	홍
hwak	확
hwan	환
hwat	홛
hwal	활
hwam	홤
hwap	홥
hwang	황
hwaek	홱
hwaen	홴
hwaet	홷
hwael	홸
hwaem	횀
hwaep	횁
hwaeng	횅
hoek	획
hoen	횐
hoet	횓
hoel	횔
hoem	횜
hoep	횝
hoeng	횡
hyok	횩
hyon	횬
hyot	횯
hyol	횰
hyom	횸
hyop	횹
hyong	횽
huk	훅
hun	훈
hut	훋
hul	훌
hum	훔
hup	훕
hung	훙
hwok	훡
hwon	훤
hwot	훧
hwol	훨
hwom	훰
hwop	훱
hwong	훵
hwek	훽
hwen	휀
hwet	휃
hwel	휄
hwem	휌
hwep	휍
hweng	휑
hwik	휙
hwin	휜
hwit	휟
hwil	휠
hwim	휨
hwip	휩
hwing	휭
hyuk	휵
hyun	휸
hyut	휻
hyul	휼
hyum	흄
hyup	흅
hyung	흉
heuk	흑
heun	흔
heut	흗
heul	흘
heum	흠
heup	흡
heung	흥
huik	흭
huin	흰
huit	흳
huil	흴
huim	흼
huip	흽
huing	힁
hik	힉
hin	힌
hit	힏
hil	힐
him	힘
hip	힙
hing	힝
hing	힝
+a	아
ae	애
ya	야
yae	얘
eo	어
e	에
yeo	여
ye	예
o	오
wa	와
wae	왜
oe	외
yo	요
u	우
wo	워
we	웨
wi	위
yu	유
eu	으
ui	의
i	이
