annyeong	안녕
hwae	홰
hoe	회
hyo	효
hu	후
hwo	훠
hwe	훼
hwi	휘
hyu	휴
heu	흐
hui	희
+gak	각
gan	간
gat	갇
gal	갈
gam	감
gap	갑
gang	강
gaek	객
gaen	갠
gaet	갣
gael	갤
gaem	갬
gaep	갭
gaeng	갱
gyak	갹
gyan	갼
gyat	갿
gyal	걀
gyam	걈
gyap	걉
gyang	걍
gyaek	걕
gyaen	걘
gyaet	걛
gyael	걜
gyaem	걤
gyaep	걥
gyaeng	걩
geok	걱
geon	건
geot	걷
geol	걸
geom	검
geop	겁
geong	겅
gek	겍
gen	겐
get	겓
gel	겔
gem	겜
gep	겝
geng	겡
gyeok	격
gyeon	견
gyeot	겯
gyeol	결
gyeom	겸
gyeop	겹
gyeong	경
gyek	곅
gyen	곈
gyet	곋
gyel	곌
gyem	곔
gyep	곕
gyeng	곙
gok	곡
gon	곤
got	곧
gol	골
gom	곰
gop	곱
gong	공
gwak	곽
gwan	관
gwat	괃
gwal	괄
gwam	괌
gwap	괍
gwang	광
gwaek	괙
gwaen	괜
gwaet	괟
gwael	괠
gwaem	괨
gwaep	괩
gwaeng	괭
goek	괵
goen	괸
goet	괻
goel	괼
goem	굄
goep	굅
goeng	굉
gyok	굑
gyon	굔
gyot	굗
gyol	굘
gyom	굠
gyop	굡
gyong	굥
guk	국
gun	군
gut	굳
gul	굴
gum	굼
gup	굽
gung	궁
gwok	궉
gwon	권
gwot	궏
gwol	궐
gwom	궘
gwop	궙
gwong	궝
gwek	궥
gwen	궨
gwet	궫
gwel	궬
gwem	궴
gwep	궵
gweng	궹
gwik	귁
gwin	귄
gwit	귇
gwil	귈
gwim	귐
gwip	귑
gwing	귕
gyuk	귝
gyun	균
gyut	귣
gyul	귤
gyum	귬
gyup	귭
gyung	귱
geuk	극
geun	근
geut	귿
geul	글
geum	금
geup	급
geung	긍
guik	긕
guin	긘
guit	긛
guil	긜
guim	긤
guip	긥
guing	긩
gik	긱
gin	긴
git	긷
gil	길
gim	김
gip	깁
ging	깅
kkak	깍
kkan	깐
kkat	깓
kkal	깔
kkam	깜
kkap	깝
kkang	깡
kkaek	깩
kkaen	깬
kkaet	깯
kkael	깰
kkaem	깸
kkaep	깹
kkaeng	깽
kkyak	꺅
kkyan	꺈
kkyat	꺋
kkyal	꺌
kkyam	꺔
kkyap	꺕
kkyang	꺙
kkyaek	꺡
kkyaen	꺤
kkyaet	꺧
kkyael	꺨
kkyaem	꺰
kkyaep	꺱
kkyaeng	꺵
kkeok	꺽
kkeon	껀
kkeot	껃
kkeol	껄
kkeom	껌
kkeop	껍
kkeong	껑
kkek	껙
kken	껜
kket	껟
kkel	껠
kkem	껨
kkep	껩
kkeng	껭
kkyeok	껵
kkyeon	껸
kkyeot	껻
kkyeol	껼
kkyeom	꼄
kkyeop	꼅
kkyeong	꼉
kkyek	꼑
kkyen	꼔
kkyet	꼗
kkyel	꼘
kkyem	꼠
kkyep	꼡
kkyeng	꼥
kkok	꼭
kkon	꼰
kkot	꼳
kkol	꼴
kkom	꼼
kkop	꼽
kkong	꽁
kkwak	꽉
kkwan	꽌
kkwat	꽏
kkwal	꽐
kkwam	꽘
kkwap	꽙
kkwang	꽝
kkwaek	꽥
kkwaen	꽨
kkwaet	꽫
kkwael	꽬
kkwaem	꽴
kkwaep	꽵
kkwaeng	꽹
kkoek	꾁
kkoen	꾄
kkoet	꾇
kkoel	꾈
kkoem	꾐
kkoep	꾑
kkoeng	꾕
kkyok	꾝
kkyon	꾠
kkyot	꾣
kkyol	꾤
kkyom	꾬
kkyop	꾭
kkyong	꾱
kkuk	꾹
kkun	꾼
kkut	꾿
kkul	꿀
kkum	꿈
kkup	꿉
kkung	꿍
kkwok	꿕
kkwon	꿘
kkwot	꿛
kkwol	꿜
kkwom	꿤
kkwop	꿥
kkwong	꿩
kkwek	꿱
kkwen	꿴
kkwet	꿷
kkwel	꿸
kkwem	뀀
kkwep	뀁
kkweng	뀅
kkwik	뀍
kkwin	뀐
kkwit	뀓
kkwil	뀔
kkwim	뀜
kkwip	뀝
kkwing	뀡
kkyuk	뀩
kkyun	뀬
kkyut	뀯
kkyul	뀰
kkyum	뀸
kkyup	뀹
kkyung	뀽
kkeuk	끅
kkeun	끈
kkeut	끋
kkeul	끌
kkeum	끔
kkeup	끕
kkeung	끙
kkuik	끡
kkuin	끤
kkuit	끧
kkuil	끨
kkuim	끰
kkuip	끱
kkuing	끵
kkik	끽
kkin	낀
kkit	낃
kkil	낄
kkim	낌
kkip	낍
kking	낑
nak	낙
nan	난
nat	낟
nal	날
nam	남
nap	납
nang	낭
naek	낵
naen	낸
naet	낻
nael	낼
naem	냄
naep	냅
naeng	냉
nyak	냑
nyan	냔
nyat	냗
nyal	냘
nyam	냠
nyap	냡
nyang	냥
nyaek	냭
